BLDG_LMT deductible evt_yr BLDG_AGE ShingleRoof FrameConstruction SingleFamily RPT_Delay paidloss HailSize
236300 250 2014 20 1 1 0 1.6789915966088 11891.32 1.75
166100 500 2013 19 1 1 1 1.44956568815972 5732.78 1.25
142000 250 2013 35 1 0 1 10.4142920683449 5388.98 1.5
139200 1000 2014 8 1 0 1 2.42365303508102 11470 2.25
219900 1000 2013 6 1 1 1 2.6734465466088 13122.62 2.25
185800 500 2013 6 1 1 1 3.70415205792824 11766.47 2.5
157300 1000 2013 45 1 1 1 34.4163962391435 5760.3 1.75
127800 1000 2014 67 1 0 1 1.5531746149537 7712.54 4
223000 1000 2014 14 1 1 1 24.5498227806597 0 1.25
185300 1000 2013 9 1 0 1 2.65896707511574 7904.35 1.25
252300 1000 2013 2 1 1 1 6.70712416185185 12727.98 2
85200 1000 2014 13 1 1 1 10.6784847379514 3253.77 1
151900 1000 2013 49 1 1 1 13.7528405971412 6901.44 1.25
150000 1000 2014 1 1 1 1 10.5264558422106 12018.28 4
196300 1000 2014 59 1 1 1 104.450023483044 3713.38 4
169800 1000 2014 25 1 1 1 1.41147863958333 0 1
348100 500 2013 17 1 1 1 24.4158313416435 10149.84 0.75
127000 250 2014 18 1 1 1 1.74388431143519 6368.5 2.25
208900 250 2013 36 1 1 1 8.60264671188657 22564.8 1
165200 500 2014 17 1 1 1 9.45719687142361 1112.7 4
189700 250 2013 35 1 0 1 84.4556720094213 0 1.25
123700 250 2014 61 1 1 1 6.69963879740741 9011.3 2.75
382300 250 2013 14 0 1 1 3.56378913331018 35226.29 1
210200 250 2013 25 1 1 1 1.62060288130787 23334.1 2
109600 500 2014 63 1 1 1 1.40899794362269 0 2.75
212500 500 2014 9 1 1 1 3.64064373696759 840.97 1
284300 500 2013 19 1 0 1 8.68783003626157 19794.93 1
163000 500 2014 37 1 0 1 3.54348809708333 5250.7 2.25
336300 250 2014 12 1 0 1 0.770966877731482 107642.65 1.75
159800 500 2013 32 1 0 1 1.64783753789352 11793.01 2
127200 500 2014 55 1 1 1 16.6125603159606 10500 1
203100 1000 2013 37 1 1 1 1.69001981082176 7826.6 2
103800 100 2013 68 1 0 1 0.604772281921296 609.73 1.5
105700 100 2014 69 1 0 1 0.781821334930556 21251.42 1.75
166700 500 2014 20 1 1 1 0.651469851053241 13651.09 3.5
185800 250 2014 57 1 0 1 1.41391700688657 19087.57 2.25
188800 500 2013 21 1 1 1 1.40646693384259 6713.54 1.5
154800 250 2013 12 1 1 1 90.5455744278009 5887.38 0.75
242400 500 2013 13 1 1 1 1.40974486762731 14153.59 2
105100 250 2014 74 1 1 1 6.42625814429398 14678.96 2.75
121300 100 2014 84 1 1 1 2.72619316803241 0 1.75
115600 250 2014 36 1 1 1 0.649388606342593 6218.89 3
205200 500 2013 48 1 1 1 50.5893334525231 0 1.5
207200 250 2014 34 1 1 1 4.61887282496528 9355.55 2.25
186600 100 2013 54 1 0 1 18.6555238196181 0 2
248100 250 2014 47 1 1 1 14.6980545272569 2606.83 3.75
147800 250 2014 58 1 1 1 4.4388853881713 10696.34 2.25
144000 500 2013 37 1 1 1 16.4532698500116 0 2
131900 250 2013 32 1 1 1 13.4241995156481 4915.25 2
189200 250 2013 27 1 1 1 1.44498147253472 7665.58 1.75
420000 1000 2014 20 1 1 1 2.42659389703704 0 1
41200 500 2014 33 1 1 1 13.4557596464352 0 3
210700 1000 2013 37 1 1 1 7.64786590170139 7231.84 2.25
159000 1000 2013 8 1 1 1 45.5886502165741 8140.98 2.5
155400 500 2014 34 1 1 1 6.42856802337963 9514.95 3
148700 1000 2014 69 1 1 1 1.40229692768519 20553.87 2.25
157500 500 2013 24 1 0 1 2.57225621383102 9175.98 1.25
137900 1000 2014 33 1 1 1 2.84879185450231 7367.11 2.25
125300 1000 2014 92 1 1 1 5.57510061600694 6769.09 0.75
152400 1500 2014 39 1 1 1 1.32265118944444 15677.4 1.5
198700 500 2014 22 1 1 1 0.8298657253125 0 1
45500 1000 2014 84 1 1 1 8.60615889112269 6091.85 3.25
242600 1000 2013 46 0 1 1 1.39748691703704 0 1.25
248500 1000 2014 88 1 0 1 68.4083955903009 8151.54 2.25
162900 250 2014 19 1 1 1 1.46733985065972 10809.97 2
213300 250 2013 35 1 1 1 6.50015016855324 10119.69 1
457600 250 2013 27 1 1 1 1.40729763075231 37991.46 1.5
339900 250 2013 16 1 1 1 0.785215114849537 0 1.5
247700 250 2014 16 1 1 1 2.48239385335648 21282.12 3
137900 250 2014 94 1 0 1 1.53051456606481 13553.76 2.25
828600 1000 2013 24 1 1 1 20.7608821246296 61400.03 1.5
209400 250 2014 60 1 0 1 0.756955585960648 17267.65 1.75
201900 250 2013 59 1 0 1 1.451482389375 1669.27 1.5
170600 500 2013 33 1 1 1 1.59138857427083 6765.7 2.25
207000 250 2013 32 1 1 1 22.5110105954398 987.59 1
152000 250 2013 30 1 1 1 57.7401783118403 2769.69 1.5
161700 250 2013 14 1 1 1 87.6049509808681 5747.64 2.25
112900 500 2014 44 1 1 1 48.6639093052778 5826.13 2.25
204800 500 2013 11 1 1 1 1.43771897930556 7946.15 1.75
140600 250 2014 104 1 1 1 1.42139189331019 7151.77 3.25
106400 500 2014 44 1 0 1 2.68673422565972 16726.97 2.5
176900 100 2013 33 1 1 1 6.40553995145833 7804 2
141700 250 2014 32 1 1 1 1.40064877625 12291.94 4
329700 500 2014 41 0 1 1 3.4861251475463 29511.48 3.75
198200 100 2013 34 1 1 1 2.61965799486111 12447.31 1.5
130500 100 2013 35 1 1 1 36.6016029506597 7146.22 1
156900 250 2013 39 1 1 1 45.4397145575694 2717.43 1.25
180400 250 2013 35 1 1 1 34.7109972365393 12293.4 1
159400 250 2013 21 1 1 1 1.71364973399306 7782.99 1.75
115200 250 2014 46 1 1 1 1.44427090422454 10773.84 3
277600 500 2014 33 0 0 1 3.4649410424537 15881.18 3.75
153600 500 2013 26 1 1 1 8.45475355454861 0 1.5
260800 1000 2013 16 1 1 1 42.4200778800579 12741.99 1
289600 1000 2013 8 1 1 1 7.74446804606481 7153.89 1.25
183600 500 2013 5 1 1 1 25.6281995999306 10891.21 2.5
221000 1000 2013 6 1 1 1 0.859557071689815 14930.48 2
304300 1000 2014 38 1 0 1 2.38264708997685 21265.76 1.75
288500 1000 2013 19 0 1 1 7.70100364319444 13151.28 1.75
233400 1000 2013 22 1 1 1 13.7089970173958 12088.92 1.25
159700 1000 2013 33 1 1 1 23.6044244011111 9843.41 2
174900 1000 2014 57 1 0 1 1.48655963881944 0 0.75
192200 1000 2013 35 1 1 1 6.37078331846065 10482.91 0.75
151300 1000 2013 47 1 0 1 6.44567207900463 8019.65 2
160400 1000 2014 37 1 1 1 43.4509224077778 15007.95 2
249000 250 2013 10 1 1 1 22.7031259439468 19304.96 1.75
126300 250 2014 64 1 1 1 2.74398151521991 711.77 2.75
153700 250 2013 50 1 1 1 24.5747870623727 8997.85 1.75
114200 250 2013 80 1 1 1 6.67194417665509 6607.57 4
97300 250 2014 44 1 0 1 1.63128250710648 9598.88 3
128500 250 2013 33 1 0 1 2.73015355502315 7738.06 2.25
205100 250 2013 25 1 1 1 1.69030675864583 9029.01 1
215200 250 2013 40 1 1 1 1.66495339733796 11793.31 1.75
210500 250 2013 19 1 1 1 59.4477127244792 8203.4 1.5
136800 250 2013 38 1 0 1 21.510567086794 9159.09 2
238500 250 2014 21 1 0 1 10.6423160820833 13288.41 1
182700 250 2013 47 1 1 1 2.5826988697338 20204.55 2
286900 1000 2013 17 1 1 1 15.6032715329167 15022.95 1.25
179800 500 2014 10 1 1 1 1.59197054923611 767.07 1
181600 100 2013 41 1 1 1 16.6123974330671 903.62 1.25
204500 100 2014 39 1 1 1 0.828384893796296 17678.46 1.75
200500 250 2013 33 1 1 1 6.6346121075 8463.04 1
268200 250 2013 17 0 1 1 10.6949657065509 26093.8 2
276600 250 2013 44 1 1 1 1.6405211875463 34507.64 1.5
154300 250 2013 47 1 1 1 17.4872643087847 7570.83 1.25
192200 250 2014 43 1 0 1 2.39562821414352 10516.88 1.5
211100 250 2013 16 1 1 1 107.604202636192 226.97 1
186000 250 2013 39 1 1 1 4.38925505994213 12504.04 2
170200 500 2014 26 1 1 1 1.41580721291667 18050.23 2.75
180800 500 2013 20 1 1 1 8.69037721027778 9145.86 1
177900 500 2014 33 0 1 1 1.36659087863426 6483.9 2.25
301400 1000 2013 35 1 1 1 8.69171775893519 10809.52 1.5
199800 500 2014 5 1 0 1 5.56975397381944 3850.56 2.25
239800 1000 2013 8 1 1 1 8.40273961516204 8013.76 1
204700 1000 2014 48 1 1 1 6.60417240274306 12835.59 3
177300 1000 2014 24 1 1 1 1.38343676364583 5949.47 2.75
211900 5000 2013 35 1 1 1 20.0582905565972 4996.67 1.25
116000 1000 2014 124 1 1 1 1.41972547859954 13788.02 3.5
133300 1000 2014 89 1 0 1 1.65988161836806 4654.39 1
