PolicyNum Year Coverage Deduct Freq Claim EntityType AlarmCredit
120002 2006 22.714456 1000 0 0 County AC00%
120002 2007 25.046646 1000 0 0 County AC00%
120002 2008 20.851525 1000 0 0 County AC00%
120002 2009 21.852696 1000 0 0 County AC00%
120002 2010 23.511493 1000 1 6838.87 County AC00%
120003 2006 99.353377 5000 0 0 County AC15%
120003 2007 104.546824 5000 4 15500 County AC15%
120003 2008 111.265009 5000 1 8775 County AC15%
120003 2009 119.005219 5000 2 37470.91 County AC15%
120003 2010 114.646079 5000 1 9711.28 County AC15%
120004 2006 25.879634 500 3 13003.08 County AC15%
120004 2007 29.720359 500 1 32733.44 County AC15%
120004 2008 31.088524 500 0 0 County AC15%
120004 2009 33.064745 1000 3 42600.43 County AC15%
120004 2010 31.853574 1000 1 10323.5 County AC15%
120005 2006 31.462584 1000 0 0 County AC15%
120005 2007 33.128746 5000 4 144005.39 County AC15%
120005 2008 34.995158 5000 0 0 County AC15%
120005 2009 36.974202 5000 1 27480.88 County AC15%
120005 2010 32.713698 5000 0 0 County AC15%
120008 2006 46.051532 500 3 48060.82 County AC15%
120008 2007 49.811334 500 1 2250 County AC15%
120008 2008 43.43849 500 1 713.15 County AC15%
120008 2009 45.36092 500 2 12014.69 County AC15%
120008 2010 47.321724 500 1 3469.79 County AC15%
120009 2006 66.618639 25000 0 0 County AC15%
120009 2007 70.089341 25000 0 0 County AC15%
120009 2008 73.688951 25000 0 0 County AC15%
120009 2009 75.219452 25000 1 5474.3 County AC15%
120009 2010 72.286976 25000 0 0 County AC15%
120012 2006 447.277005 500 16 55273.39 County AC15%
120012 2007 478.182819 500 12 366403.42 County AC15%
120012 2008 511.339313 500 10 47562.49 County AC15%
120012 2009 584.335432 500 17 158777.17 County AC15%
120012 2010 569.366096 500 16 83934.7 County AC15%
120013 2006 127.590738 500 3 20169.21 County AC15%
120013 2007 138.368204 500 6 13101.99 County AC15%
120013 2008 145.526388 500 4 41266.18 County AC15%
120013 2009 152.772888 500 0 0 County AC15%
120013 2010 163.526511 500 5 63529.9 County AC15%
120015 2006 84.15447 1000 6 8648.1 County AC15%
120015 2007 92.383555 1000 5 26819.98 County AC15%
120015 2008 96.832364 1000 8 52866.97 County AC15%
120015 2009 101.407523 1000 4 36411.4 County AC15%
120015 2010 107.382645 1000 9 38117.45 County AC15%
120017 2006 67.719951 5000 3 970.9 County AC00%
120017 2007 72.719899 5000 8 52342.26 County AC00%
120017 2008 71.582224 5000 4 5018.22 County AC15%
120017 2009 74.992679 5000 2 886.95 County AC15%
120017 2010 79.719144 5000 6 9131.7 County AC15%
120018 2006 101.613238 5000 0 0 County AC15%
120018 2007 108.575007 5000 1 44628.76 County AC15%
120018 2008 114.83045 5000 1 146083.94 County AC15%
120018 2009 121.617722 5000 2 117967.96 County AC15%
120018 2010 115.589417 5000 1 9648.62 County AC15%
120021 2006 23.930241 2500 0 0 County AC00%
120021 2007 25.716292 2500 0 0 County AC00%
120021 2008 28.220772 2500 0 0 County AC15%
120021 2009 29.615734 2500 1 5451.19 County AC15%
120021 2010 31.490661 2500 2 10989.35 County AC15%
120022 2006 22.168794 500 6 52282.21 County AC15%
120022 2007 23.783332 500 1 4500 County AC15%
120022 2008 24.85208 500 0 0 County AC15%
120022 2009 26.110607 500 1 2440.21 County AC15%
120022 2010 27.525078 500 0 0 County AC15%
120023 2006 44.549513 1000 0 0 County AC10%
120023 2007 47.874105 1000 2 55591.69 County AC10%
120023 2008 50.498835 1000 2 57080.39 County AC10%
120023 2009 51.635317 1000 0 0 County AC10%
120023 2010 65.739367 1000 2 16424.49 County AC15%
120025 2006 46.048119 500 2 14327.12 County AC00%
120025 2007 49.233619 500 0 0 County AC15%
120025 2008 51.909998 500 1 624.85 County AC15%
120025 2009 54.441728 500 1 376255.81 County AC15%
120025 2010 64.542605 500 3 11391.53 County AC15%
120026 2006 66.127182 500 4 12048.91 County AC15%
120026 2007 71.365462 2500 2 16487.11 County AC15%
120026 2008 75.576654 2500 5 90932.6 County AC15%
120026 2009 79.162253 2500 2 6636.19 County AC15%
120026 2010 85.003637 2500 2 70561.27 County AC15%
120027 2006 21.63419 5000 0 0 County AC00%
120027 2007 23.402531 5000 0 0 County AC00%
120027 2008 25.108004 5000 1 174518.44 County AC00%
120027 2009 26.238226 5000 0 0 County AC05%
120027 2010 32.882702 5000 0 0 County AC15%
120028 2006 169.148795 5000 2 22015 County AC15%
120028 2007 186.884087 5000 0 0 County AC15%
120028 2008 193.30292 5000 0 0 County AC15%
120028 2009 196.322125 5000 1 12875 County AC15%
120028 2010 209.567808 5000 1 66931.96 County AC15%
120032 2006 28.416083 1000 1 19714.09 County AC00%
120032 2007 30.544157 1000 0 0 County AC00%
120032 2008 32.580637 1000 1 5366.77 County AC00%
120032 2009 33.890716 1000 2 30722.54 County AC00%
120032 2010 36.511265 1000 1 2601.5 County AC15%
120033 2006 119.417636 2500 0 0 County AC15%
120033 2007 128.7933 2500 0 0 County AC15%
120033 2008 136.537216 2500 1 38568.02 County AC15%
120033 2009 141.228192 2500 1 8720.69 County AC15%
120033 2010 153.81519 2500 1 7536.73 County AC15%
120036 2006 101.216134 500 6 58004.7 County AC15%
120036 2007 106.932849 500 4 25819.98 County AC15%
120036 2008 111.927379 500 5 15195.01 County AC15%
